Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
262.879	-0.4477813	-21.59095	99.25	NaN	NaN	NaN	NaN
262.88	-0.4477813	1.98853	99.1875	NaN	NaN	NaN	NaN
262.881	-0.4477813	5.681515	99.28125	NaN	NaN	NaN	NaN
262.882	-0.4477813	19.60248	99.375	NaN	NaN	NaN	NaN
262.883	-0.4477813	26.98863	99.375	NaN	NaN	NaN	NaN
262.884	-0.4477813	17.04526	99.375	NaN	NaN	NaN	NaN
262.885	-0.4477813	23.29558	99.40625	NaN	NaN	NaN	NaN
262.886	-0.4477813	23.0118	99.3125	NaN	NaN	NaN	NaN
262.887	-0.4477813	26.98874	99.40625	NaN	NaN	NaN	NaN
262.888	-0.4477813	34.09088	99.46875	NaN	NaN	NaN	NaN
262.889	-0.4477813	46.8753	99.34375	NaN	NaN	NaN	NaN
262.89	-0.4477813	57.95479	99.59375	NaN	NaN	NaN	NaN
262.891	-0.4477813	69.88656	99.59375	NaN	NaN	NaN	NaN
262.892	-0.4477813	86.64769	99.65625	NaN	NaN	NaN	NaN
262.893	-0.4477813	94.60246	99.6875	NaN	NaN	NaN	NaN
262.894	-0.4477813	110.7955	99.875	NaN	NaN	NaN	NaN
262.895	-0.4477813	108.8067	99.9375	NaN	NaN	NaN	NaN
262.896	-0.4477813	109.6588	100.0313	NaN	NaN	NaN	NaN
262.897	-0.4477813	111.9318	100.375	NaN	NaN	NaN	NaN
262.898	-0.4477813	108.5228	100.2813	NaN	NaN	NaN	NaN
262.899	-0.4477813	99.43151	100.5625	NaN	NaN	NaN	NaN
262.9	-0.4477813	91.47722	100.5313	NaN	NaN	NaN	NaN
262.901	-0.4477813	84.94318	100.5313	NaN	NaN	NaN	NaN
262.902	-0.4477813	73.57955	100.75	NaN	NaN	NaN	NaN
262.903	-0.4477813	78.97693	100.7813	NaN	NaN	NaN	NaN
262.904	-0.4477813	74.71603	100.8438	NaN	NaN	NaN	NaN
262.905	-0.4477813	75.56802	100.875	NaN	NaN	NaN	NaN
262.906	-0.4477813	78.69321	101.0313	NaN	NaN	NaN	NaN
262.907	-0.4477813	67.89815	101.0313	NaN	NaN	NaN	NaN
262.908	-0.4477813	63.35235	101.1875	NaN	NaN	NaN	NaN
262.909	-0.4477813	56.53393	101.25	NaN	NaN	NaN	NaN
262.91	-0.4477813	40.6251	101.2188	NaN	NaN	NaN	NaN
262.911	-0.4477813	20.17075	101.4375	NaN	NaN	NaN	NaN
262.912	-0.4477813	9.943188	101.3125	NaN	NaN	NaN	NaN
262.913	-0.4477813	-5.113602	101.3438	NaN	NaN	NaN	NaN
262.914	-0.4477813	-27.27276	101.375	NaN	NaN	NaN	NaN
262.915	-0.4477813	-43.18202	101.2188	NaN	NaN	NaN	NaN
262.916	-0.4477813	-70.1704	101.1563	NaN	NaN	NaN	NaN
262.917	-0.4477813	-85.22743	101.25	NaN	NaN	NaN	NaN
262.918	-0.4477813	-105.3976	101.1875	NaN	NaN	NaN	NaN
262.919	-0.4477813	-121.8749	100.875	NaN	NaN	NaN	NaN
262.92	-0.4477813	-140.0569	100.875	NaN	NaN	NaN	NaN
262.921	-0.4477813	-155.6817	100.5938	NaN	NaN	NaN	NaN
262.922	-0.4477813	-168.7505	100.4688	NaN	NaN	NaN	NaN
262.923	-0.4477813	-176.9888	100.3125	NaN	NaN	NaN	NaN
262.924	-0.4477813	-175.284	100.1563	NaN	NaN	NaN	NaN
262.925	-0.4477813	-188.3521	99.84375	NaN	NaN	NaN	NaN
262.926	-0.4477813	-193.1821	99.78125	NaN	NaN	NaN	NaN
262.927	-0.4477813	-203.125	99.625	NaN	NaN	NaN	NaN
262.928	-0.4477813	-211.6472	99.3125	NaN	NaN	NaN	NaN
262.929	-0.4477813	-217.8981	99.21875	NaN	NaN	NaN	NaN
262.93	-0.4477813	-225.5682	98.875	NaN	NaN	NaN	NaN
262.931	-0.4477813	-230.3981	98.65625	NaN	NaN	NaN	NaN
262.932	-0.4477813	-228.1249	98.4375	NaN	NaN	NaN	NaN
262.933	-0.4477813	-216.7612	98.1875	NaN	NaN	NaN	NaN
262.934	-0.4477813	-215.3411	97.96875	NaN	NaN	NaN	NaN
262.935	-0.4477813	-206.25	97.65625	NaN	NaN	NaN	NaN
262.936	-0.4477813	-200.8522	97.59375	NaN	NaN	NaN	NaN
262.937	-0.4477813	-196.8747	97.375	NaN	NaN	NaN	NaN
262.938	-0.4477813	-194.3187	97.28125	NaN	NaN	NaN	NaN
262.939	-0.4477813	-187.7839	96.96875	NaN	NaN	NaN	NaN
262.94	-0.4477813	-181.5337	96.78125	NaN	NaN	NaN	NaN
262.941	-0.4477813	-185.5113	96.625	NaN	NaN	NaN	NaN
262.942	-0.4477813	-168.182	96.40625	NaN	NaN	NaN	NaN
262.943	-0.4477813	-154.2614	96.1875	NaN	NaN	NaN	NaN
262.944	-0.4477813	-134.6591	96.125	NaN	NaN	NaN	NaN
262.945	-0.4477813	-114.2049	95.96875	NaN	NaN	NaN	NaN
262.946	-0.4477813	-98.01167	95.71875	NaN	NaN	NaN	NaN
262.947	-0.4477813	-82.10242	95.875	NaN	NaN	NaN	NaN
262.948	-0.4477813	-73.57943	95.71875	NaN	NaN	NaN	NaN
262.949	-0.4477813	-66.19322	95.625	NaN	NaN	NaN	NaN
262.95	-0.4477813	-67.89733	95.6875	NaN	NaN	NaN	NaN
262.951	-0.4477813	-63.35247	95.5625	NaN	NaN	NaN	NaN
262.952	-0.4477813	-67.32953	95.5	NaN	NaN	NaN	NaN
262.953	-0.4477813	-63.92038	95.375	NaN	NaN	NaN	NaN
262.954	-0.4477813	-54.82972	95.40625	NaN	NaN	NaN	NaN
262.955	-0.4477813	-45.17067	95.125	NaN	NaN	NaN	NaN
262.956	-0.4477813	-26.1361	95.25	NaN	NaN	NaN	NaN
262.957	-0.4477813	-9.374439	95.21875	NaN	NaN	NaN	NaN
262.958	-0.4477813	9.943247	95.09375	NaN	NaN	NaN	NaN
262.959	-0.4477813	19.88649	95.25	NaN	NaN	NaN	NaN
262.96	-0.4477813	35.5112	95.28125	NaN	NaN	NaN	NaN
262.961	-0.4477813	42.04548	95.34375	NaN	NaN	NaN	NaN
262.962	-0.4477813	47.72729	95.375	NaN	NaN	NaN	NaN
262.963	-0.4477813	54.26127	95.46875	NaN	NaN	NaN	NaN
262.964	-0.4477813	46.59104	95.40625	NaN	NaN	NaN	NaN
262.965	-0.4477813	40.90905	95.5	NaN	NaN	NaN	NaN
262.966	-0.4477813	34.94304	95.65625	NaN	NaN	NaN	NaN
262.967	-0.4477813	30.39789	95.59375	NaN	NaN	NaN	NaN
262.968	-0.4477813	18.74965	95.71875	NaN	NaN	NaN	NaN
262.969	-0.4477813	13.35233	95.65625	NaN	NaN	NaN	NaN
262.97	-0.4477813	3.124952	95.625	NaN	NaN	NaN	NaN
262.971	-0.4477813	-13.92037	95.65625	NaN	NaN	NaN	NaN
262.972	-0.4477813	-10.22714	95.6875	NaN	NaN	NaN	NaN
262.973	-0.4477168	-15.62542	95.5625	NaN	NaN	NaN	NaN
262.974	-0.4479175	-22.15886	95.625	NaN	NaN	NaN	NaN
262.975	-0.4484118	-37.21625	95.625	NaN	NaN	NaN	NaN
262.976	-0.4490784	-55.11338	95.40625	NaN	NaN	NaN	NaN
262.977	-0.4495193	-77.27235	95.65625	NaN	NaN	NaN	NaN
262.978	-0.4490608	-96.87465	95.53125	NaN	NaN	NaN	NaN
262.979	-0.4476752	-117.8976	95.34375	NaN	NaN	NaN	NaN
262.98	-0.4454235	-146.0224	95.15625	NaN	NaN	NaN	NaN
